county_name,age_group,sex,population
Cavalier,0-4,female,134
Dickey,0-4,female,147
Divide,0-4,female,60
Dunn,0-4,female,148
Eddy,0-4,female,70
Emmons,0-4,female,78
Foster,0-4,female,105
Golden Valley,0-4,female,64
Grand Forks,0-4,female,2276
Grant,0-4,female,54
Griggs,0-4,female,75
Hettinger,0-4,female,87
Kidder,0-4,female,66
LaMoure,0-4,female,121
Logan,0-4,female,52
McHenry,0-4,female,139
McIntosh,0-4,female,48
McKenzie,0-4,female,671
McLean,0-4,female,277
Mercer,0-4,female,254
Morton,0-4,female,1112
Mountrail,0-4,female,376
Nelson,0-4,female,63
Oliver,0-4,female,63
Pembina,0-4,female,202
Pierce,0-4,female,108
Ramsey,0-4,female,410
Ransom,0-4,female,145
Renville,0-4,female,48
Richland,0-4,female,478
Rolette,0-4,female,460
Sargent,0-4,female,109
Sheridan,0-4,female,29
Sioux,0-4,female,167
Slope,0-4,female,20
Stark,0-4,female,1304
Steele,0-4,female,76
Stutsman,0-4,female,547
Towner,0-4,female,43
Traill,0-4,female,222
Walsh,0-4,female,311
Ward,0-4,female,2445
Wells,0-4,female,112
Williams,0-4,female,1758
Adams,5-9,female,62
Barnes,5-9,female,270
Benson,5-9,female,271
Billings,5-9,female,22
Bottineau,5-9,female,219
Bowman,5-9,female,120
Burke,5-9,female,93
Burleigh,5-9,female,3278
Cass,5-9,female,5873
Cavalier,5-9,female,113
Dickey,5-9,female,179
Divide,5-9,female,76
Dunn,5-9,female,167
Eddy,5-9,female,59
Emmons,5-9,female,92
Foster,5-9,female,116
Golden Valley,5-9,female,57
Grand Forks,5-9,female,2156
Grant,5-9,female,68
Griggs,5-9,female,71
Hettinger,5-9,female,81
Kidder,5-9,female,70
LaMoure,5-9,female,120
Logan,5-9,female,61
McHenry,5-9,female,160
McIntosh,5-9,female,65
McKenzie,5-9,female,612
McLean,5-9,female,335
Mercer,5-9,female,306
Morton,5-9,female,1138
Mountrail,5-9,female,398
Nelson,5-9,female,89
Oliver,5-9,female,78
Pembina,5-9,female,177
Pierce,5-9,female,94
Ramsey,5-9,female,379
Ransom,5-9,female,208
Renville,5-9,female,56
Richland,5-9,female,496
Rolette,5-9,female,545
Sargent,5-9,female,112
Sheridan,5-9,female,50
Sioux,5-9,female,207
Slope,5-9,female,24
Stark,5-9,female,1193
Steele,5-9,female,52
Stutsman,5-9,female,654
Towner,5-9,female,65
Traill,5-9,female,235
Walsh,5-9,female,367
Ward,5-9,female,2472
Wells,5-9,female,130
Williams,5-9,female,1573
Adams,10-14,female,69
Barnes,10-14,female,295
Benson,10-14,female,264
Billings,10-14,female,26
Bottineau,10-14,female,183
Bowman,10-14,female,96
Burke,10-14,female,63
Burleigh,10-14,female,3137
Cass,10-14,female,5464
Cavalier,10-14,female,88
Dickey,10-14,female,173
Divide,10-14,female,77
Dunn,10-14,female,126
Eddy,10-14,female,66
